id;first_name;last_name;national_code;mobile_number;grade
1;مهرنوش;مجتهد شبستری;زیتونی;وام کردن PCI;SECOND
2;ورجاوند;نهاوندی;کفش;Bedfordshire اساسی طعم;FIFTH
3;مستان;کوشکی;Avon connect کفش;مربی;SECOND
4;یاشار;مشا;صورتحساب;virtual generate;THIRD
5;مهر آرا;قمیشی;محور;ها;FIFTH
6;گلنسا;قمیشی;کردن لطیف;up تجربیات پالائو;FORTH
7;فربار;عاشوری;صورتحساب;transmit;FORTH
8;ساغر;علم‌الهدی;ثابت کرون;quantifying;SECOND
9;نگارین;میردامادی;matrix اتومبیل;فلزی متن online;FORTH
10;شبدیز;نیشابوری;آرایه سپرده;نامتقارن کیبورد;SECOND
